n_tweetid,s_userid,s_tweettext,n_retweetvolume,n_favoritevolume,s_tweeturl,s_tweettime,r_tweetsentimentscore,r_tweetsentimentsmagnitude,n_tweetvalidstrcount,trend_id,url_id
11,@WildSpeed_jp, シリーズの日本車ミニカーが新発売◆◆ホットウィールからマツダ RX-7やニッサン・シルビア（S15）などを含む5車種のワイスピカープレミアムシリーズが登場！◆◆ヘッドライトやエンブレム類などこだわりの細部にも注目！◆◆ ,690,2877,https://twitter.com/WildSpeed_jp/status/1252069478780764163,2020/4/20 3:00,0.7,2.2,111,3,3
12,@fgoproject,【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ2召喚」にてピックアップ中の「★5(SSR)ロムルス＝クィリヌス」の宝具演出「我らの腕はすべてを拓き、宙へ」をご紹介いたします！ ,830,3910,https://twitter.com/fgoproject/status/1251708606673649665,2020/4/19 3:06,0.2,1.2,96,3,3
13,@fgoproject,【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ召喚」にてピックアップ中の「★5(SSR)ディオスクロイ」の宝具演出「双神賛歌」をご紹介いたします！ ,570,3108,https://twitter.com/fgoproject/status/1252795959832006656,2020/4/22 3:06,0.2,1.3,82,3,3
14,@fgoproject,【カルデア広報局より】◆【予告】2000万DL突破キャンペーン開催予定！正式加入条件をクリアして対象の★5サーヴァント1騎を獲得しよう！さらに、期間内にこのツイートが10万リツイート達成で聖晶石30個プレゼント！詳しくは→ ,125023,54095,https://twitter.com/fgoproject/status/1254002799215472644,2020/4/25 11:02,0.1,1.4,112,3,3
15,@azurlane_staff,【お知らせ】◆特型艦建造にて空母「赤城ちゃん」「ツェッペリンちゃん」、◆大型艦建造にて巡洋戦艦「比叡ちゃん」が常設実装中！◆◆また、期間限定で開催中の友好度イベント「リトル・ロイヤルナイト」にて◆巡洋戦艦「リトル・レナウン」を正式加入可能！◆◆ぜひ、ご確認ください！◆ ,1553,3570,https://twitter.com/azurlane_staff/status/1253928229590593538,2020/4/25 6:06,0.4,2.4,135,3,3
16,@azurlane_staff,【イベント】◆期間限定イベント『リトル・ロイヤルナイト』、開催中！◆◆海域に出撃し友好度を稼ぎ、仮加入中の「リトル・レナウン」を正式加入させましょう！◆「リトル・レナウン」を連れて海域をクリアすると、もらえる友好度もUP！◆◆ぜひ、ご確認ください！◆ ,722,2018,https://twitter.com/azurlane_staff/status/1253541905469669376,2020/4/24 4:30,0.5,2.6,126,4,2
17,@comic_natalie,アニメ「FGO」賢王ギルガメッシュ、マーリンのフレグランスが受注生産で登場◆◆◆ ,1639,2642,https://twitter.com/comic_natalie/status/1251789152753864704,2020/4/19 8:26,0.7,0.7,41,4,2
18,@dengekionline,どんな香り？ 『FGO』術ギル、マーリンをイメージしたフレグランス ,103,196,https://twitter.com/dengekionline/status/1251782603788582912,2020/4/19 8:00,0.2,0.4,34,4,2
19,@fgoproject,【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ2召喚」にてピックアップ中の「★5(SSR)ロムルス＝クィリヌス」の宝具演出「我らの腕はすべてを拓き、宙へ」をご紹介いたします！ ,830,3910,https://twitter.com/fgoproject/status/1251708606673649665,2020/4/19 3:06,0.2,1.2,96,4,2
20,@animateinfo,ポイント景品【「薄桜鬼 真改 銀星ノ抄」ぷに1.5使用 ハート形缶バッジ3個セット(斎藤一、藤堂平助、原田左之助)】◆「薄桜鬼 真改 銀星ノ抄」の発売に合わせて＜7/30＞より交換開始！◆詳細はコチラ ,127,304,https://twitter.com/animateinfo/status/1252087368393293824,2020/4/20 4:11,0.2,0.6,101,4,2
21,@tobikan_jp,ラメセス2世像の奥には皇帝ナポレオンの肖像画。見る人を圧倒するような表現をお楽しみいただくエントランスでした。左の壁にはインドの細密画も。古今東西の表現をくらべて見られる点も、 の見どころでした。会場がまぼろしとなったため、模型でイメージをご紹介します。 ,155,581,https://twitter.com/tobikan_jp/status/1253881501600477184,2020/4/25 3:00,0.4,2.4,128,5,1
22,@Ryohei_h11,スナイデル、コバチッチ、カッサーノ ,6,19,https://twitter.com/Ryohei_h11/status/1254015089184608257,2020/4/25 11:51,0,0,18,5,1
23,@fashionpressnet,スナイデルから、ビリー・アイリッシュをフィーチャーしたTシャツ＆フーディー発売 - ,83,706,https://twitter.com/fashionpressnet/status/1251737318857125889,2020/4/19 5:00,0.1,0.1,42,5,1
24,@fashionpressnet,[明日発売] スナイデルから、ビリー・アイリッシュをフィーチャーしたTシャツ＆フーディー発売 - ,69,482,https://twitter.com/fashionpressnet/status/1252396666646216704,2020/4/21 0:40,0.2,0.2,49,5,1
25,@fgoproject,【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ召喚」にてピックアップ中の「★4(SR)カイニス」の宝具演出「飛翔せよ、わが金色の大翼」をご紹介いたします！ ,453,2351,https://twitter.com/fgoproject/status/1252901228641542145,2020/4/22 10:05,0.2,1.2,86,5,1
26,@fgoproject,【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ召喚」にてピックアップ中の「★4(SR)カイニス」の宝具演出「飛翔せよ、わが金色の大翼」をご紹介いたします！ ,562,2984,https://twitter.com/fgoproject/status/1251359437807210498,2020/4/18 3:58,0.2,1.2,86,10,10
27,@livedoornews,【21時より】『ワイルド・スピード SKY MISSION』フジテレビにて今夜放送◆◆◆突然の交通事故により、撮影期間中に40歳という若さで亡くなったポール・ウォーカーさんのシリーズ最後の出演作としても知られている。 ,2319,4031,https://twitter.com/livedoornews/status/1253826679954223105,2020/4/24 23:22,0.2,0.5,109,10,10
28,@eigacom,【明日のファミリー】◆◆明日の「」は、人気シリーズ第7弾「ワイルド・スピード SKY MISSION」を放送。◆◆ポール・ウォーカーが出演した最後のワイスピで、ジェイソン・ステイサム演じるデッカード・ショウが初参戦してます?◆◆作品情報は ,345,584,https://twitter.com/eigacom/status/1253632275578642433,2020/4/24 10:30,0.3,1.4,120,10,10
29,@fujitv_movie,今夜9時～『ワイルド・スピード SKY MISSION』を放送◆（※一部地域を除く）◆◆あらゆる常識を覆すアクションで全世界を熱狂させ続ける「ワイルド・スピード」シリーズの最高傑作◆世界中の都市を舞台に、想像を超えるアクションとドラマが駆け抜ける◆◆どうそお楽しみに◆◆・スピード ,500,766,https://twitter.com/fujitv_movie/status/1253821020055584768,2020/4/24 23:00,0.4,2.6,141,10,10
30,@monst_mixi,獣神化情報◆「ユグドラシル」の獣神化が可能に！◆4/28（火）12時（正午）より解禁！◆◆詳細は公式サイトをチェック！◆◆ ,1607,5278,https://twitter.com/monst_mixi/status/1253958236165648385,2020/4/25 8:05,0.2,0.9,62,10,10
31,@monst_mixi,ただいまより獣神化解禁◆◆「Two for all」「無敵アイドル Two for all」「二人のキセキ Two for all」の獣神化が可能に！◆本日（4/25）19時より解禁！◆新たな姿をモンストでチェック！◆◆◆ ,430,1611,https://twitter.com/monst_mixi/status/1253988382276976642,2020/4/25 10:05,0.5,2.2,112,10,10
32,@monst_mixi,獣神化情報◆「プロメテウス」の獣神化が可能に！◆4/28（火）12時（正午）より解禁！◆ ◆詳細は公式サイトをチェック！◆◆ ,738,2740,https://twitter.com/monst_mixi/status/1253953943337463808,2020/4/25 7:48,0.2,0.9,63,10,10
33,@tobikan_jp,権力者と芸術の関わりをひもといていく 。入口で来場者をお迎えするのは、古代エジプトのファラオ、ラメセス2世の彫像でした。◆◆第1章は「姿を見せる、力を示す」。さまざまな文化における権力者の肖像画や権力の象徴となる動物を表した作品などをご紹介します。 ,91,264,https://twitter.com/tobikan_jp/status/1253519051004850176,2020/4/24 3:00,0.4,1.6,125,10,10
34,@nhk_hensei,／◆ ◆一挙アンコール?◆＼◆◆古代エジプトの美の最高峰 ・ツタンカーメンの秘宝◆超高精細8Kカメラで世界初の撮影したBS8Kでのシリーズを放送◆◆（1）「黄金のファラオ」◆（2）「ファラオの愛と死」◆（3）「三千年の封印を解け」◆◆23日（木）午後3時［］,19,33,https://twitter.com/nhk_hensei/status/1252900118946144256,2020/4/22 10:00,0.3,2.9,129,10,10
35,@tatsunoritoku,星5サーヴァント配布って、現金給付10万円より凄いんでは。◆ ,17,22,https://twitter.com/tatsunoritoku/status/1254004511636484100,2020/4/25 11:09,0.2,0.2,31,10,10
36,@dengekionline,【追記】『FGO』2000万DL記念PU召喚が開催。武蔵ちゃんやギルも日替りで対象に◆◆ ,108,112,https://twitter.com/dengekionline/status/1254004219893301248,2020/4/25 11:07,0,0.5,45,10,10
37,@eigacom,【明日のファミリー】◆◆明日の「」は、人気シリーズ第7弾「ワイルド・スピード SKY MISSION」を放送。◆◆ポール・ウォーカーが出演した最後のワイスピで、ジェイソン・ステイサム演じるデッカード・ショウが初参戦してます?◆◆作品情報は ,346,585,https://twitter.com/eigacom/status/1253632275578642433,2020/4/24 10:30,0.3,1.4,120,10,10
38,@cinematoday,号泣必至のラストも放送！今夜『ワイルド・スピード SKY MISSION』吹き替え声優は？ ,108,214,https://twitter.com/cinematoday/status/1253809449803763712,2020/4/24 22:14,0.2,0.5,46,10,10
39,@WildSpeed_jp, シリーズの日本車ミニカーが新発売◆◆ホットウィールからマツダ RX-7やニッサン・シルビア（S15）などを含む5車種のワイスピカープレミアムシリーズが登場！◆◆ヘッドライトやエンブレム類などこだわりの細部にも注目！◆◆ ,692,2881,https://twitter.com/WildSpeed_jp/status/1252069478780764163,2020/4/20 3:00,0.7,2.2,111,10,10
40,@INSIDEjp,『FGO』孔明や玉藻の前、アルトリア（セイバー）も対象！ ★5サーヴァントが1騎もらえる2000万DLキャンペーンを発表,7,4,https://twitter.com/INSIDEjp/status/1254014808636063744,2020/4/25 11:50,0,1.2,60,10,10
41,@SekinoKouhei,、◆同じジャックラッセルで◆血統書付きでチャッピーと◆お見合いしてくれる◆わんちゃん◆募集中です！！??◆◆◆◆◆ ,17,162,https://twitter.com/SekinoKouhei/status/1253634908011982848,2020/4/24 10:40,0.3,2.5,58,10,10
42,@DeadpoolMovieJP,俺ちゃんの中のライアン・レイノルズちゃんが、マブダチのヒュー・ジャックマンと一緒に、話題のチャリティ活動 に参加したよん? 気になる奴はチェック ? ,544,1730,https://twitter.com/DeadpoolMovieJP/status/1252571459962064896,2020/4/21 12:14,0.7,0.7,75,10,10
43,@mollyfantasy_of,クレーンゲームの達人 こと 深澤辰哉さんにお家でクレーンゲームに飽きるまで遊んでいただきたいです◆◆弊社のモーリーオンラインは自宅でも遊べるのと 24時間営業なので何時間でも何日でも遊び続けられます?◆→◆ ,1524,4070,https://twitter.com/mollyfantasy_of/status/1253479259827396610,2020/4/24 0:21,0.4,1.2,104,10,10
44,@NetflixJP,みんなで しかない！◆◆今週届いた、みんなへのメッセージとおすすめ作品◆◆モーリー・ロバートソンさん◆『』◆◆◆おかもとえみさん◆『』◆ ,6,16,https://twitter.com/NetflixJP/status/1253893912491524096,2020/4/25 3:49,0.1,1.7,69,10,10
45,@fgoproject,【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ2召喚」にてピックアップ中の「★5(SSR)ロムルス＝クィリヌス」の宝具演出「我らの腕はすべてを拓き、宙へ」をご紹介いたします！ ,830,3910,https://twitter.com/fgoproject/status/1251708606673649665,2020/4/19 3:06,0.2,1.2,96,10,10
46,@fgoproject,【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ召喚」にてピックアップ中の「★5(SSR)ディオスクロイ」の宝具演出「双神賛歌」をご紹介いたします！ ,570,3109,https://twitter.com/fgoproject/status/1252795959832006656,2020/4/22 3:06,0.2,1.3,82,10,10
47,@comic_natalie,アニメ「FGO」賢王ギルガメッシュ、マーリンのフレグランスが受注生産で登場◆◆◆ ,1639,2642,https://twitter.com/comic_natalie/status/1251789152753864704,2020/4/19 8:26,0.7,0.7,41,10,10
48,@dengekionline,どんな香り？ 『FGO』術ギル、マーリンをイメージしたフレグランス ,103,196,https://twitter.com/dengekionline/status/1251782603788582912,2020/4/19 8:00,0.2,0.4,34,10,10
49,@fgoproject,【カルデア広報局より】◆【予告】2000万DL突破キャンペーン開催予定！正式加入条件をクリアして対象の★5サーヴァント1騎を獲得しよう！さらに、期間内にこのツイートが10万リツイート達成で聖晶石30個プレゼント！詳しくは→ ,126467,55279,https://twitter.com/fgoproject/status/1254002799215472644,2020/4/25 11:02,0.1,1.4,112,10,10
50,@azurlane_staff,【お知らせ】◆特型艦建造にて空母「赤城ちゃん」「ツェッペリンちゃん」、◆大型艦建造にて巡洋戦艦「比叡ちゃん」が常設実装中！◆◆また、期間限定で開催中の友好度イベント「リトル・ロイヤルナイト」にて◆巡洋戦艦「リトル・レナウン」を正式加入可能！◆◆ぜひ、ご確認ください！◆ ,1556,3582,https://twitter.com/azurlane_staff/status/1253928229590593538,2020/4/25 6:06,0.4,2.4,135,10,10
51,@azurlane_staff,【イベント】◆期間限定イベント『リトル・ロイヤルナイト』、開催中！◆◆海域に出撃し友好度を稼ぎ、仮加入中の「リトル・レナウン」を正式加入させましょう！◆「リトル・レナウン」を連れて海域をクリアすると、もらえる友好度もUP！◆◆ぜひ、ご確認ください！◆ ,722,2019,https://twitter.com/azurlane_staff/status/1253541905469669376,2020/4/24 4:30,0.5,2.6,126,10,10
52,@fgoproject,【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ2召喚」にてピックアップ中の「★5(SSR)ロムルス＝クィリヌス」の宝具演出「我らの腕はすべてを拓き、宙へ」をご紹介いたします！ ,830,3910,https://twitter.com/fgoproject/status/1251708606673649665,2020/4/19 3:06,0.2,1.2,96,10,10
53,@tobikan_jp,ラメセス2世像の奥には皇帝ナポレオンの肖像画。見る人を圧倒するような表現をお楽しみいただくエントランスでした。左の壁にはインドの細密画も。古今東西の表現をくらべて見られる点も、 の見どころでした。会場がまぼろしとなったため、模型でイメージをご紹介します。 ,157,583,https://twitter.com/tobikan_jp/status/1253881501600477184,2020/4/25 3:00,0.4,2.4,128,10,10
54,@animateinfo,ポイント景品【「薄桜鬼 真改 銀星ノ抄」ぷに1.5使用 ハート形缶バッジ3個セット(斎藤一、藤堂平助、原田左之助)】◆「薄桜鬼 真改 銀星ノ抄」の発売に合わせて＜7/30＞より交換開始！◆詳細はコチラ ,127,304,https://twitter.com/animateinfo/status/1252087368393293824,2020/4/20 4:11,0.2,0.6,101,10,10
55,@livedoornews,【21時より】『ワイルド・スピード SKY MISSION』フジテレビにて今夜放送◆◆◆突然の交通事故により、撮影期間中に40歳という若さで亡くなったポール・ウォーカーさんのシリーズ最後の出演作としても知られている。 ,2342,4074,https://twitter.com/livedoornews/status/1253826679954223105,2020/4/24 23:22,0.2,0.5,109,10,10
56,@eigacom,【明日のファミリー】◆◆明日の「」は、人気シリーズ第7弾「ワイルド・スピード SKY MISSION」を放送。◆◆ポール・ウォーカーが出演した最後のワイスピで、ジェイソン・ステイサム演じるデッカード・ショウが初参戦してます?◆◆作品情報は ,349,587,https://twitter.com/eigacom/status/1253632275578642433,2020/4/24 10:30,0.3,1.4,120,10,10
57,@fujitv_movie,今夜9時～『ワイルド・スピード SKY MISSION』を放送◆（※一部地域を除く）◆◆あらゆる常識を覆すアクションで全世界を熱狂させ続ける「ワイルド・スピード」シリーズの最高傑作◆世界中の都市を舞台に、想像を超えるアクションとドラマが駆け抜ける◆◆どうそお楽しみに◆◆・スピード ,529,819,https://twitter.com/fujitv_movie/status/1253821020055584768,2020/4/24 23:00,0.4,2.6,141,10,10
58,@Ryohei_h11,スナイデル、コバチッチ、カッサーノ ,7,26,https://twitter.com/Ryohei_h11/status/1254015089184608257,2020/4/25 11:51,0,0,18,10,10
59,@fashionpressnet,スナイデルから、ビリー・アイリッシュをフィーチャーしたTシャツ＆フーディー発売 - ,83,706,https://twitter.com/fashionpressnet/status/1251737318857125889,2020/4/19 5:00,0.1,0.1,42,10,10
60,@fashionpressnet,[明日発売] スナイデルから、ビリー・アイリッシュをフィーチャーしたTシャツ＆フーディー発売 - ,69,482,https://twitter.com/fashionpressnet/status/1252396666646216704,2020/4/21 0:40,0.2,0.2,49,10,10
61,@fgoproject,【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ召喚」にてピックアップ中の「★4(SR)カイニス」の宝具演出「飛翔せよ、わが金色の大翼」をご紹介いたします！ ,453,2351,https://twitter.com/fgoproject/status/1252901228641542145,2020/4/22 10:05,0.2,1.2,86,10,10
62,@fgoproject,【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ召喚」にてピックアップ中の「★4(SR)カイニス」の宝具演出「飛翔せよ、わが金色の大翼」をご紹介いたします！ ,562,2984,https://twitter.com/fgoproject/status/1251359437807210498,2020/4/18 3:58,0.2,1.2,86,10,10
63,@tobikan_jp,権力者と芸術の関わりをひもといていく 。入口で来場者をお迎えするのは、古代エジプトのファラオ、ラメセス2世の彫像でした。◆◆第1章は「姿を見せる、力を示す」。さまざまな文化における権力者の肖像画や権力の象徴となる動物を表した作品などをご紹介します。 ,91,264,https://twitter.com/tobikan_jp/status/1253519051004850176,2020/4/24 3:00,0.4,1.6,125,10,10
64,@nhk_hensei,／◆ ◆一挙アンコール?◆＼◆◆古代エジプトの美の最高峰 ・ツタンカーメンの秘宝◆超高精細8Kカメラで世界初の撮影したBS8Kでのシリーズを放送◆◆（1）「黄金のファラオ」◆（2）「ファラオの愛と死」◆（3）「三千年の封印を解け」◆◆23日（木）午後3時［］,19,33,https://twitter.com/nhk_hensei/status/1252900118946144256,2020/4/22 10:00,0.3,2.9,129,10,10
65,@tatsunoritoku,星5サーヴァント配布って、現金給付10万円より凄いんでは。◆ ,17,22,https://twitter.com/tatsunoritoku/status/1254004511636484100,2020/4/25 11:09,0.2,0.2,31,10,10
66,@dengekionline,【追記】『FGO』2000万DL記念PU召喚が開催。武蔵ちゃんやギルも日替りで対象に◆◆ ,108,112,https://twitter.com/dengekionline/status/1254004219893301248,2020/4/25 11:07,0,0.5,45,10,10
67,@eigacom,【明日のファミリー】◆◆明日の「」は、人気シリーズ第7弾「ワイルド・スピード SKY MISSION」を放送。◆◆ポール・ウォーカーが出演した最後のワイスピで、ジェイソン・ステイサム演じるデッカード・ショウが初参戦してます?◆◆作品情報は ,349,588,https://twitter.com/eigacom/status/1253632275578642433,2020/4/24 10:30,0.3,1.4,120,10,10
68,@cinematoday,号泣必至のラストも放送！今夜『ワイルド・スピード SKY MISSION』吹き替え声優は？ ,109,214,https://twitter.com/cinematoday/status/1253809449803763712,2020/4/24 22:14,0.2,0.5,46,10,10
69,@WildSpeed_jp, シリーズの日本車ミニカーが新発売◆◆ホットウィールからマツダ RX-7やニッサン・シルビア（S15）などを含む5車種のワイスピカープレミアムシリーズが登場！◆◆ヘッドライトやエンブレム類などこだわりの細部にも注目！◆◆ ,693,2883,https://twitter.com/WildSpeed_jp/status/1252069478780764163,2020/4/20 3:00,0.7,2.2,111,10,10
70,@INSIDEjp,『FGO』孔明や玉藻の前、アルトリア（セイバー）も対象！ ★5サーヴァントが1騎もらえる2000万DLキャンペーンを発表,7,4,https://twitter.com/INSIDEjp/status/1254014808636063744,2020/4/25 11:50,0,1.2,60,10,10
71,@SekinoKouhei,、◆同じジャックラッセルで◆血統書付きでチャッピーと◆お見合いしてくれる◆わんちゃん◆募集中です！！??◆◆◆◆◆ ,17,162,https://twitter.com/SekinoKouhei/status/1253634908011982848,2020/4/24 10:40,0.3,2.5,58,10,10
72,@DeadpoolMovieJP,俺ちゃんの中のライアン・レイノルズちゃんが、マブダチのヒュー・ジャックマンと一緒に、話題のチャリティ活動 に参加したよん? 気になる奴はチェック ? ,544,1730,https://twitter.com/DeadpoolMovieJP/status/1252571459962064896,2020/4/21 12:14,0.7,0.7,75,10,10
73,@mollyfantasy_of,クレーンゲームの達人 こと 深澤辰哉さんにお家でクレーンゲームに飽きるまで遊んでいただきたいです◆◆弊社のモーリーオンラインは自宅でも遊べるのと 24時間営業なので何時間でも何日でも遊び続けられます?◆→◆ ,1524,4070,https://twitter.com/mollyfantasy_of/status/1253479259827396610,2020/4/24 0:21,0.4,1.2,104,10,10
74,@NetflixJP,みんなで しかない！◆◆今週届いた、みんなへのメッセージとおすすめ作品◆◆モーリー・ロバートソンさん◆『』◆◆◆おかもとえみさん◆『』◆ ,6,16,https://twitter.com/NetflixJP/status/1253893912491524096,2020/4/25 3:49,0.1,1.7,69,10,10
75,@fgoproject,【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ2召喚」にてピックアップ中の「★5(SSR)ロムルス＝クィリヌス」の宝具演出「我らの腕はすべてを拓き、宙へ」をご紹介いたします！ ,830,3910,https://twitter.com/fgoproject/status/1251708606673649665,2020/4/19 3:06,0.2,1.2,96,10,10
76,@fgoproject,【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ召喚」にてピックアップ中の「★5(SSR)ディオスクロイ」の宝具演出「双神賛歌」をご紹介いたします！ ,570,3109,https://twitter.com/fgoproject/status/1252795959832006656,2020/4/22 3:06,0.2,1.3,82,10,10
77,@comic_natalie,アニメ「FGO」賢王ギルガメッシュ、マーリンのフレグランスが受注生産で登場◆◆◆ ,1639,2642,https://twitter.com/comic_natalie/status/1251789152753864704,2020/4/19 8:26,0.7,0.7,41,10,10
78,@dengekionline,どんな香り？ 『FGO』術ギル、マーリンをイメージしたフレグランス ,103,196,https://twitter.com/dengekionline/status/1251782603788582912,2020/4/19 8:00,0.2,0.4,34,10,10
79,@fgoproject,【カルデア広報局より】◆【予告】2000万DL突破キャンペーン開催予定！正式加入条件をクリアして対象の★5サーヴァント1騎を獲得しよう！さらに、期間内にこのツイートが10万リツイート達成で聖晶石30個プレゼント！詳しくは→ ,126920,55612,https://twitter.com/fgoproject/status/1254002799215472644,2020/4/25 11:02,0.1,1.4,112,10,10
80,@azurlane_staff,【お知らせ】◆特型艦建造にて空母「赤城ちゃん」「ツェッペリンちゃん」、◆大型艦建造にて巡洋戦艦「比叡ちゃん」が常設実装中！◆◆また、期間限定で開催中の友好度イベント「リトル・ロイヤルナイト」にて◆巡洋戦艦「リトル・レナウン」を正式加入可能！◆◆ぜひ、ご確認ください！◆ ,1558,3588,https://twitter.com/azurlane_staff/status/1253928229590593538,2020/4/25 6:06,0.4,2.4,135,10,10
81,@azurlane_staff,【イベント】◆期間限定イベント『リトル・ロイヤルナイト』、開催中！◆◆海域に出撃し友好度を稼ぎ、仮加入中の「リトル・レナウン」を正式加入させましょう！◆「リトル・レナウン」を連れて海域をクリアすると、もらえる友好度もUP！◆◆ぜひ、ご確認ください！◆ ,722,2019,https://twitter.com/azurlane_staff/status/1253541905469669376,2020/4/24 4:30,0.5,2.6,126,10,10
82,@fgoproject,【カルデア広報局より】◆現在開催中の「オリュンポスピックアップ2召喚」にてピックアップ中の「★5(SSR)ロムルス＝クィリヌス」の宝具演出「我らの腕はすべてを拓き、宙へ」をご紹介いたします！ ,830,3910,https://twitter.com/fgoproject/status/1251708606673649665,2020/4/19 3:06,0.2,1.2,96,10,10
83,@tobikan_jp,ラメセス2世像の奥には皇帝ナポレオンの肖像画。見る人を圧倒するような表現をお楽しみいただくエントランスでした。左の壁にはインドの細密画も。古今東西の表現をくらべて見られる点も、 の見どころでした。会場がまぼろしとなったため、模型でイメージをご紹介します。 ,157,583,https://twitter.com/tobikan_jp/status/1253881501600477184,2020/4/25 3:00,0.4,2.4,128,10,10
84,@animateinfo,ポイント景品【「薄桜鬼 真改 銀星ノ抄」ぷに1.5使用 ハート形缶バッジ3個セット(斎藤一、藤堂平助、原田左之助)】◆「薄桜鬼 真改 銀星ノ抄」の発売に合わせて＜7/30＞より交換開始！◆詳細はコチラ ,127,304,https://twitter.com/animateinfo/status/1252087368393293824,2020/4/20 4:11,0.2,0.6,101,10,10
85,@livedoornews,【21時より】『ワイルド・スピード SKY MISSION』フジテレビにて今夜放送◆◆◆突然の交通事故により、撮影期間中に40歳という若さで亡くなったポール・ウォーカーさんのシリーズ最後の出演作としても知られている。 ,2356,4092,https://twitter.com/livedoornews/status/1253826679954223105,2020/4/24 23:22,0.2,0.5,109,10,10
86,@eigacom,【明日のファミリー】◆◆明日の「」は、人気シリーズ第7弾「ワイルド・スピード SKY MISSION」を放送。◆◆ポール・ウォーカーが出演した最後のワイスピで、ジェイソン・ステイサム演じるデッカード・ショウが初参戦してます?◆◆作品情報は ,350,589,https://twitter.com/eigacom/status/1253632275578642433,2020/4/24 10:30,0.3,1.4,120,10,10
87,@fujitv_movie,今夜9時～『ワイルド・スピード SKY MISSION』を放送◆（※一部地域を除く）◆◆あらゆる常識を覆すアクションで全世界を熱狂させ続ける「ワイルド・スピード」シリーズの最高傑作◆世界中の都市を舞台に、想像を超えるアクションとドラマが駆け抜ける◆◆どうそお楽しみに◆◆・スピード ,543,858,https://twitter.com/fujitv_movie/status/1253821020055584768,2020/4/24 23:00,0.4,2.6,141,10,10
